,CPU 제조사,그래픽 제조사,메모리 용량,저장장치1 크기,저장장치2 크기,운영체제,CPU Score,GPU Score,용도,최저가,메모리 타입_DDR3L,메모리 타입_DDR4,메모리 타입_DDR5,메모리 타입_GDDR6,메모리 타입_LPDDR4,메모리 타입_LPDDR5,저장장치1_M.2,저장장치1_SSD,저장장치1_eMMC,저장장치1_mSATA,저장장치2_M.2,저장장치2_SSD,저장장치2_eMMC,저장장치2_mSATA
5108,1,0,8,256.0,0.0,0,12309,1279,0,558000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3150,1,0,16,256.0,0.0,1,31337,2496,0,1278770,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2249,1,1,16,512.0,0.0,1,17078,7820,1,1437580,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4308,1,0,4,256.0,0.0,0,2672,727,0,386000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2787,1,0,4,128.0,0.0,1,3139,1521,0,393000,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4186,1,0,16,1000.0,0.0,0,10044,0,0,1036990,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4376,1,0,8,256.0,0.0,0,19524,1644,0,681990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6460,0,1,16,512.0,0.0,0,18470,11873,1,1589570,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2142,1,1,16,2000.0,0.0,1,16534,12707,1,2086400,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1921,1,0,8,120.0,0.0,0,2892,326,0,597500,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1808,1,0,16,512.0,0.0,0,5565,1279,0,579490,0,1,0,0,0,0,1,0,0,0,1,0,0,0
604,1,1,64,1000.0,0.0,0,10488,13988,1,2201000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
709,1,0,8,128.0,0.0,1,20074,1746,0,1019340,0,1,0,0,0,0,1,0,0,0,1,0,0,0
259,0,0,16,256.0,0.0,1,24568,2775,0,836290,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6257,1,0,16,512.0,0.0,0,20074,1746,0,908990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
773,1,0,16,128.0,0.0,1,2367,1521,0,613600,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4873,0,1,32,512.0,0.0,1,27586,25205,1,4127280,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6152,1,0,8,480.0,0.0,1,4394,1101,0,499000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
6214,0,0,32,256.0,0.0,0,4483,0,0,500000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4807,0,0,32,512.0,0.0,0,4483,0,0,533000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3226,1,0,64,1000.0,0.0,0,21950,0,0,1255520,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5475,0,0,4,256.0,0.0,0,13155,2009,0,579000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4039,1,0,16,1000.0,0.0,1,13409,0,0,1129000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
916,0,0,16,512.0,0.0,1,28127,19225,1,2319000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2893,1,0,8,512.0,0.0,1,6340,1521,0,1262100,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1471,1,1,16,500.0,0.0,0,27732,17071,1,1644690,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3025,1,0,8,512.0,0.0,1,10044,0,0,1246710,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3517,0,0,64,2000.0,0.0,0,10888,2181,0,989000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
482,0,0,16,256.0,0.0,0,19836,2580,0,653290,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2468,0,0,8,1000.0,0.0,0,13155,2009,0,1127990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5614,1,0,8,1000.0,0.0,0,11085,0,0,969990,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5146,1,0,8,256.0,0.0,1,7579,1521,0,1007330,0,1,0,0,0,0,1,0,0,0,1,0,0,0
980,1,0,8,256.0,0.0,1,11085,0,0,969000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4259,1,0,8,256.0,0.0,0,4286,727,0,463500,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4838,1,0,8,256.0,0.0,1,13355,1279,0,1138680,0,1,0,0,0,0,0,1,0,0,0,1,0,0
589,1,1,16,256.0,0.0,0,10488,13988,1,1919990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1780,1,0,32,2000.0,0.0,0,16803,1279,0,1336640,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4990,1,0,16,1000.0,0.0,0,6235,1521,0,709880,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3474,1,0,16,2000.0,0.0,1,4286,727,0,810000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4509,1,0,4,128.0,0.0,0,10488,0,0,1062600,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5355,1,0,64,512.0,0.0,0,2672,727,0,778000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
803,1,0,64,2000.0,0.0,0,16798,1279,0,1306200,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5230,0,0,4,120.0,0.0,0,24568,2775,0,584720,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4695,1,1,8,2000.0,0.0,1,19524,10075,1,1838990,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4816,1,1,32,1000.0,0.0,0,34667,25205,1,4400000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4720,1,1,16,512.0,0.0,1,17576,12770,1,1078880,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5409,1,0,4,512.0,0.0,1,6749,1101,0,990000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5617,1,0,16,240.0,1000.0,0,11085,0,0,989990,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4529,1,0,4,256.0,0.0,1,10044,0,0,1059980,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6102,0,0,8,512.0,0.0,0,19836,2580,0,661310,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1601,1,0,8,128.0,0.0,0,3728,727,0,345000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1605,1,0,16,512.0,0.0,0,3728,727,0,554390,0,1,0,0,0,0,1,0,0,0,1,0,0,0
195,1,0,8,128.0,512.0,1,2367,1521,0,553840,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6276,1,1,16,256.0,0.0,1,8776,7820,1,1228500,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3132,1,0,4,512.0,128.0,1,1695,326,0,469750,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1481,1,1,16,500.0,0.0,0,34498,12707,1,1550820,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5287,1,1,32,2000.0,0.0,1,36085,22296,1,3446550,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4375,1,0,8,128.0,0.0,0,19524,1644,0,671990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2218,0,0,8,256.0,0.0,0,24568,2775,0,673000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2363,1,0,8,256.0,0.0,1,6649,1279,0,698770,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4926,1,0,64,1000.0,0.0,0,36085,2496,0,1558540,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2258,1,1,64,1000.0,0.0,0,31337,22296,1,2237000,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2164,1,1,16,2000.0,0.0,1,34667,23611,1,2900420,0,1,0,0,0,0,1,0,0,0,1,0,0,0
34,1,0,8,512.0,0.0,1,17554,0,0,1384270,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1774,1,0,4,128.0,0.0,0,16803,1279,0,887300,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3299,1,0,8,256.0,0.0,0,31337,2496,0,983162,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1264,1,0,8,128.0,256.0,1,2367,1521,0,539990,0,1,0,0,0,0,0,0,1,0,0,1,0,0
5050,1,1,16,512.0,0.0,1,34667,20406,1,2699000,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5969,1,0,8,250.0,0.0,1,14328,1644,0,639000,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4696,1,1,16,512.0,0.0,1,19524,10075,1,1558720,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6281,1,1,32,256.0,0.0,1,8776,7820,1,1365000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4850,1,0,8,1000.0,0.0,1,14328,1644,0,1024610,0,1,0,0,0,0,0,1,0,0,0,1,0,0
6020,1,0,4,128.0,0.0,0,8776,1279,0,506000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1122,1,0,4,120.0,128.0,1,4286,727,0,544340,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4777,0,0,16,512.0,0.0,0,24568,2775,0,742000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
41,1,0,32,256.0,0.0,1,17554,0,0,1561140,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5682,1,1,8,250.0,0.0,1,14345,5062,1,1154730,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1567,1,0,4,240.0,0.0,0,13355,1279,0,720100,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3010,1,1,64,256.0,0.0,1,17576,12770,1,1498990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5034,1,1,16,512.0,0.0,0,19804,20406,1,1459000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1107,1,0,8,128.0,0.0,1,22978,1746,0,1159940,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1820,1,0,8,240.0,0.0,0,6649,1279,0,508240,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3549,0,1,8,256.0,0.0,0,19836,12770,1,993690,0,1,0,0,0,0,1,0,0,0,1,0,0,0
384,0,1,16,512.0,0.0,0,2818,12770,1,735966,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5196,1,0,16,512.0,0.0,0,6235,1521,0,718990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4397,1,1,32,1000.0,0.0,1,20274,19543,1,5890000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1522,1,0,8,64.0,0.0,1,2436,326,0,443000,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2140,1,1,16,512.0,0.0,1,16534,12707,1,1603570,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3842,1,0,4,512.0,0.0,0,14328,1644,0,638000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
884,1,0,8,120.0,0.0,0,1695,326,0,317190,0,1,0,0,0,0,0,1,0,0,0,1,0,0
1287,1,1,16,500.0,0.0,0,12370,11873,1,930350,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2962,0,1,16,256.0,0.0,1,24568,12770,1,1201200,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5384,1,0,4,64.0,0.0,1,1695,326,0,424850,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3673,0,0,8,240.0,0.0,1,16323,2370,0,649000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
717,1,0,16,1000.0,128.0,1,20074,1746,0,1149490,0,1,0,0,0,0,0,1,0,0,1,0,0,0
4013,1,1,32,2000.0,0.0,1,10488,13988,1,3048500,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4455,1,0,16,256.0,0.0,0,12309,1279,0,669000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1271,1,0,8,128.0,0.0,1,2367,1521,0,584990,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2171,1,1,32,1000.0,0.0,1,34667,23611,1,3099990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
294,1,1,16,1000.0,0.0,1,31337,12707,1,2624600,0,1,0,0,0,0,1,0,0,0,1,0,0,0
309,1,0,16,256.0,0.0,1,6235,1521,0,868000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
872,1,0,8,256.0,0.0,1,4138,727,0,609990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5945,1,0,8,128.0,0.0,0,6340,1521,0,553800,0,1,0,0,0,0,1,0,0,0,1,0,0,0
101,1,0,8,256.0,0.0,0,6749,1101,0,380470,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3748,1,0,24,512.0,0.0,1,6340,1521,0,1792700,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1420,1,0,8,128.0,64.0,1,1413,326,0,439840,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2546,1,0,8,128.0,0.0,0,10488,0,0,1229990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6036,1,0,64,2000.0,0.0,0,8776,1279,0,1095000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
467,1,0,32,512.0,0.0,1,19524,1644,0,1029000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2384,1,0,64,1000.0,0.0,0,36085,2496,0,2078950,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2200,1,1,16,512.0,0.0,0,31455,20406,1,1426920,0,1,0,0,0,0,1,0,0,0,1,0,0,0
265,0,0,32,2000.0,0.0,1,24568,2775,0,1200290,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1897,1,0,8,128.0,0.0,0,9745,1279,0,637450,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6377,1,0,8,1000.0,0.0,1,31337,2496,0,1495080,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5003,1,1,16,256.0,0.0,1,31337,7820,1,1597830,0,0,1,0,0,0,1,0,0,0,1,0,0,0
4687,1,0,8,480.0,0.0,1,4350,1521,0,582000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3309,1,0,8,2000.0,0.0,1,11389,1521,0,1138990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2676,1,0,8,256.0,0.0,0,17421,2496,0,818990,0,0,1,0,0,0,1,0,0,0,1,0,0,0
6208,1,1,32,1000.0,0.0,0,34667,27299,1,3990000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3047,1,0,8,1000.0,0.0,1,11389,1521,0,1078780,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1587,1,0,8,128.0,0.0,0,9472,1279,0,634600,0,1,0,0,0,0,0,1,0,0,0,1,0,0
820,1,0,16,500.0,0.0,0,34498,9287,1,1250020,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4118,1,0,16,256.0,0.0,1,31337,2496,0,1434790,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2484,1,0,32,1000.0,0.0,1,19524,1644,0,1444990,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5312,1,0,64,512.0,0.0,1,11389,1521,0,1368990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1810,1,0,32,2000.0,0.0,0,5565,1279,0,948100,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2501,1,1,8,256.0,0.0,0,19524,12707,1,1098990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
666,1,0,16,1000.0,0.0,1,19524,1644,0,1224720,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2493,0,0,16,512.0,0.0,1,19836,2580,0,800000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1079,1,0,16,1000.0,128.0,1,12309,1279,0,887290,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1500,1,0,8,500.0,0.0,0,10356,1279,0,681150,0,1,0,0,0,0,0,1,0,0,0,1,0,0
534,1,0,16,256.0,0.0,1,14328,1644,0,954720,0,0,1,0,0,0,1,0,0,0,1,0,0,0
5123,0,0,16,512.0,0.0,0,15608,1792,0,524300,0,1,0,0,0,0,1,0,0,0,1,0,0,0
928,1,1,16,500.0,0.0,0,31455,20406,1,1848610,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1670,1,0,16,128.0,0.0,1,2367,1521,0,644280,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3810,1,1,8,1000.0,0.0,1,16798,13988,1,2189980,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4278,1,1,8,256.0,0.0,1,9472,7820,1,1461000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
5726,1,0,8,256.0,0.0,1,9108,1279,0,599000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1920,1,0,4,240.0,0.0,0,2892,326,0,548970,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3115,1,0,8,512.0,0.0,1,4138,727,0,979000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3045,1,0,8,256.0,0.0,0,31337,2496,0,889000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
473,1,1,8,2000.0,0.0,1,19524,7820,1,1910710,0,1,0,0,0,0,1,0,0,0,1,0,0,0
723,1,0,8,128.0,0.0,1,8754,1279,0,636000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3360,0,1,16,512.0,0.0,1,19836,17071,1,1830170,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1365,1,0,4,128.0,128.0,1,20274,1279,0,1089640,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2236,1,0,8,512.0,0.0,1,16534,1644,0,987070,0,1,0,0,0,0,1,0,0,0,1,0,0,0
912,1,1,16,500.0,0.0,0,19804,17071,1,1287510,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1139,1,0,32,1000.0,128.0,1,4286,727,0,862590,0,1,0,0,0,0,0,1,0,0,1,0,0,0
1580,1,0,4,240.0,0.0,0,9472,1279,0,546250,0,1,0,0,0,0,0,1,0,0,0,1,0,0
3988,1,0,16,250.0,0.0,0,10044,0,0,900000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1494,1,0,8,240.0,0.0,0,4138,727,0,367900,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4997,1,0,32,1000.0,0.0,0,6235,1521,0,789880,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6129,1,1,8,250.0,0.0,1,19804,7820,1,1475040,0,1,0,0,0,0,0,1,0,0,0,1,0,0
911,1,1,16,500.0,0.0,0,31455,23611,1,1942520,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2394,0,1,16,1000.0,0.0,1,19836,20406,1,1419000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4327,1,1,32,512.0,0.0,1,19524,20406,1,1637780,0,0,1,0,0,0,1,0,0,0,1,0,0,0
674,1,0,16,512.0,0.0,1,14328,1644,0,735810,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5029,1,0,4,256.0,0.0,0,2986,326,0,416000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5612,1,0,8,1000.0,0.0,0,11085,0,0,895990,0,1,0,0,0,0,0,1,0,0,0,1,0,0
549,1,0,8,128.0,0.0,0,8754,1279,0,467720,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2590,1,0,32,500.0,0.0,0,17025,0,0,1416620,0,1,0,0,0,0,1,0,0,0,1,0,0,0
728,1,0,16,256.0,0.0,1,8754,1279,0,809000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6148,1,0,4,240.0,0.0,1,4394,1101,0,432000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4599,1,0,8,512.0,0.0,1,16798,1279,1,899000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4673,0,0,4,128.0,0.0,0,10888,2181,0,500000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
794,1,0,8,512.0,0.0,0,16798,1279,0,788990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
411,1,0,8,256.0,0.0,0,17025,0,0,1271890,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3317,1,0,64,1000.0,0.0,1,11389,1521,0,1388990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1335,0,1,16,500.0,0.0,0,21959,17071,1,1277890,0,1,0,0,0,0,1,0,0,0,1,0,0,0
485,0,1,16,500.0,0.0,0,28127,23611,1,2223670,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6092,0,0,16,512.0,0.0,0,21959,14491,1,945190,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5306,1,0,16,512.0,0.0,1,11389,1521,0,1063990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5559,0,1,64,1000.0,0.0,0,45840,26696,1,5200000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
28,0,1,64,512.0,0.0,0,19836,17071,1,1548990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6358,1,0,16,512.0,0.0,1,6749,1101,0,906720,0,0,1,0,0,0,1,0,0,0,1,0,0,0
2494,0,0,8,256.0,0.0,1,19836,2580,0,773000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6192,1,1,32,256.0,0.0,1,19804,17071,1,1499000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1391,0,0,16,500.0,0.0,0,21959,16042,1,1334550,0,1,0,0,0,0,1,0,0,0,1,0,0,0
532,1,0,8,512.0,0.0,1,14328,1644,0,934790,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1483,1,1,16,500.0,0.0,0,34498,22296,1,1989710,0,1,0,0,0,0,1,0,0,0,1,0,0,0
636,0,1,64,2000.0,0.0,0,39306,20406,1,2528990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
339,1,0,8,500.0,0.0,0,17554,0,0,1008270,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3235,1,1,16,512.0,0.0,0,31455,23611,1,1969000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4880,0,0,16,256.0,0.0,0,10888,2181,0,519990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5313,1,0,64,1000.0,0.0,1,11389,1521,0,1488990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1898,1,0,8,240.0,0.0,0,9745,1279,0,647900,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3000,0,0,32,1000.0,0.0,1,13155,2009,0,1318990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1745,0,1,16,512.0,0.0,0,21959,17071,1,1242420,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3815,1,0,8,256.0,0.0,0,14328,1644,0,577990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1444,1,0,2,64.0,120.0,1,2825,0,0,362180,1,0,0,0,0,0,0,0,1,0,0,1,0,0
5982,1,1,16,512.0,0.0,0,19804,12707,1,959420,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4779,0,0,32,256.0,0.0,0,24568,2775,0,789880,0,1,0,0,0,0,1,0,0,0,1,0,0,0
597,1,1,32,500.0,0.0,0,10488,13988,1,1998000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4314,1,0,8,256.0,0.0,1,8776,1279,0,738400,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5373,1,0,16,256.0,0.0,1,2816,727,0,598720,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4985,1,0,16,128.0,0.0,0,6235,1521,0,589880,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5701,1,0,16,256.0,0.0,0,6235,1521,0,702990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3007,1,1,32,256.0,0.0,1,17576,12770,1,1298990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2934,0,0,4,250.0,0.0,0,6870,0,0,606790,0,1,0,0,0,0,1,0,0,0,1,0,0,0
197,1,1,16,512.0,0.0,0,31455,17071,1,1299880,0,1,0,0,0,0,1,0,0,0,1,0,0,0
3352,0,1,32,256.0,0.0,0,24568,12770,1,1283100,0,1,0,0,0,0,1,0,0,0,1,0,0,0
4053,1,0,4,500.0,0.0,0,2367,1521,0,408661,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2300,1,1,16,512.0,0.0,0,19804,20406,1,1950000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6390,1,0,64,250.0,0.0,1,31337,2496,0,1725000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
4671,0,0,64,1000.0,0.0,0,10888,2181,0,788000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
583,1,1,8,512.0,0.0,0,10488,13988,1,1927990,0,1,0,0,0,0,1,0,0,0,1,0,0,0
5110,1,0,16,256.0,0.0,0,12309,1279,0,600000,0,1,0,0,0,0,1,0,0,0,1,0,0,0
694,1,0,8,500.0,0.0,1,17078,1644,0,818790,0,1,0,0,0,0,1,0,0,0,1,0,0,0
336,1,0,8,250.0,0.0,0,17554,0,0,987430,0,1,0,0,0,0,1,0,0,0,1,0,0,0
6414,1,0,8,128.0,0.0,0,22864,1521,0,2080390,0,1,0,0,0,0,1,0,0,0,1,0,0,0
1759,0,0,16,240.0,0.0,0,19836,2580,0,599000,0,1,0,0,0,0,0,1,0,0,0,1,0,0
